TradeID,EntryTime,EntryPrice,Type,InitialSL,InitialTP,CurrentSL,CurrentTP,PositionSize,ExitTime,ExitPrice,PnL
28,2024-09-09 14:24:00,54945.458999999995,Long,54634.17605111674,55568.0248977665,56706.802722600005,57412.0572774,0.6262094822618903,2024-09-09 20:24:00,56883.99,1213.9264938586261
29,2024-09-10 00:18:00,56684.60814,Long,56424.45281463304,57204.918790733915,56657.6682618,57362.311738200005,0.7959383453083332,2024-09-10 02:15:00,56657.6682618,-21.442482077315187
30,2024-09-10 04:30:00,56462.136959999996,Long,56276.44212209144,56833.52663581711,56951.848920000004,57660.15108,1.1139414358777837,2024-09-10 10:30:00,57155.74,772.6331663067979
31,2024-09-10 13:30:00,56696.744205,Long,56470.47679227154,57149.27903045692,56750.2425948,57456.037405200004,0.9483447194206941,2024-09-10 15:45:00,56750.2425948,50.734915464339096
32,2024-09-11 01:39:00,56932.992269999995,Long,56631.64503756578,57535.686734868425,56684.710104,57535.686734868425,0.7137508894813495,2024-09-11 04:03:00,56684.710104,-177.21161682485408
33,2024-09-11 12:54:00,56863.563995000004,Short,57141.45923782156,56307.7735093569,55975.8158218,55288.2041782,0.7676084587075502,2024-09-11 15:00:00,55975.8158218,681.4430069504965
34,2024-09-11 15:36:00,56870.160695000006,Short,57287.33980578969,56035.802473420634,57092.997599400005,56035.802473420634,0.5276610534914692,2024-09-11 16:48:00,57092.997599400005,-117.58235573248137
35,2024-09-12 14:15:00,58160.895005,Short,58464.44993477441,57553.78514545116,57890.103457200006,57178.9765428,0.7212972811850211,2024-09-12 16:39:00,57890.103457200006,195.3212071960181
36,2024-09-13 12:18:00,57684.6279,Long,57523.07113431702,58007.74143136596,59337.0069818,60074.973018200006,1.3673618475504485,2024-09-13 16:39:00,59337.0069818,2259.400114143759
